               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081605,            0.017055,                   0,             0.61064,              0.4946,             0.54531,             0.30077,            0.048245,           0.0072665,                   0,            0.070046,           0.0033283,           0.0033283
                   1,            0.052619,            0.015933,                   0,             0.72126,             0.64173,             0.69622,             0.38783,            0.040436,           0.0061498,                   0,             0.03998,           0.0065956,           0.0065956
                   2,            0.048941,            0.014947,                   0,             0.71335,             0.59435,              0.6844,             0.39288,            0.041986,           0.0060569,                   0,           0.0098478,            0.009797,            0.009797
                   3,            0.048412,            0.015063,                   0,             0.74293,             0.60058,             0.69524,             0.39764,            0.040214,           0.0059845,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.046243,             0.01459,                   0,             0.74749,             0.61271,             0.70595,             0.41019,            0.039533,           0.0062117,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044716,            0.014593,                   0,             0.77271,             0.67249,             0.76207,             0.46474,            0.037006,           0.0057199,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042687,            0.014321,                   0,             0.80897,              0.6783,             0.77972,             0.46726,            0.034872,           0.0056615,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041369,            0.013779,                   0,              0.7801,             0.68711,             0.77527,             0.46708,            0.035357,           0.0055846,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040203,             0.01367,                   0,             0.83219,             0.72319,               0.806,             0.49474,            0.034608,           0.0054009,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039825,            0.013628,                   0,             0.81954,               0.734,             0.80925,             0.49613,            0.034138,            0.005293,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039395,            0.013303,                   0,             0.82413,             0.73621,              0.8182,             0.50527,             0.03521,           0.0053615,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038778,            0.013184,                   0,             0.83567,             0.75664,              0.8336,             0.52509,            0.032694,           0.0051097,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.037906,              0.0127,                   0,             0.82356,             0.74564,             0.83327,             0.52837,            0.031444,            0.005298,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037794,            0.012737,                   0,             0.83684,             0.79052,             0.86046,              0.5565,            0.030817,           0.0050852,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03734,            0.012955,                   0,             0.84147,             0.78095,             0.85083,             0.54759,            0.030841,           0.0051197,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.036778,            0.012665,                   0,             0.85348,             0.77889,             0.85188,             0.55246,            0.030847,           0.0051551,                   0,            0.008614,            0.008614,            0.008614
